Personnel Number,First Name,Middle Name,Last Name,SSN,Job Location,Manager,HR Rep,Field Admin,Drug Pool
10005,Charles,B,Lamar,XXX-XX-0001,Oklahoma City,001manager@sample.com,001hrrep@sample.com,001fieldadmin@sample.com,OKC Corporate Non-DOT
10014,Richard,Alan,Marcum,XXX-XX-0002,Oklahoma City,002manager@sample.com,002hrrep@sample.com,002fieldadmin@sample.com,OKC Corporate Non-DOT
10018,Marc,B.,Schneider,XXX-XX-0003,Oklahoma City,003manager@sample.com,003hrrep@sample.com,003fieldadmin@sample.com,OKC Corporate Non-DOT
10070,John,William Patrick,Arney,XXX-XX-0004,Oklahoma City,004manager@sample.com,004hrrep@sample.com,004fieldadmin@sample.com,OKC Corporate Non-DOT
10079,Gary-dash,,Nash,XXX-XX-0005,Crane,005manager@sample.com,005hrrep@sample.com,005fieldadmin@sample.com,Texas Non-DOT
10102,Francis,V,Fletcher,XXX-XX-0006,Gillette,006manager@sample.com,006hrrep@sample.com,006fieldadmin@sample.com,Wyoming Non-DOT
10116,Thomas,Harrison,Spurlock,XXX-XX-0007,Crane,007manager@sample.com,007hrrep@sample.com,007fieldadmin@sample.com,Texas Non-DOT
10117,Wyatt,E.,Abbitt,XXX-XX-0008,Oklahoma City,008manager@sample.com,008hrrep@sample.com,008fieldadmin@sample.com,OKC Corporate Non-DOT
10121,Linda,C,Howard,XXX-XX-0009,Oklahoma City,009manager@sample.com,009hrrep@sample.com,009fieldadmin@sample.com,OKC Corporate Non-DOT
10131,Stephanie,A,Porter,XXX-XX-0010,Oklahoma City,002manager@sample.com,010hrrep@sample.com,010fieldadmin@sample.com,OKC Corporate Non-DOT
